Company_name,Descriptions,Address,Tel,Fax,Email_Address,Web
NORACON SDN BHD,"• Specialised in waste management system
• Civil Construction
• Road Works
• Landscaping
• Environment
• Slope Protection
• Building Construction/ Renovation","Unit 7, Block B, 2nd Floor, Pengkalan Gadong Complex, Jalan Batu Bersurat, Gadong, BSB, Brunei Darussalam",+673 242 3931 ,+673 242 3932,naracon_brunei@yahoo.com,http://www.noraconbrunei.com
SRI SEMPURNA JAYA,Contact Person: Mr Stephen Kong,"No. 4-46, Kg. Madang, Jalan Berakas, BSB BC3715, Brunei Darussalam ",+673 877 4089,+673 234 1795,,
SYARIKAT ASMAHWATY DAN ANAK-ANAK SDN BHD,"● Building Construction, General Maintenance & Repair.
● Aluminium & Glass Works
● Stainless Steel, Wrought Iron, Mild Steel Works
● Interior Furnishing ( Cabinet, Wardrobe & Ceiling)
● All Kinds of Furniture Supply & Hotel Equipments
● Air Conditioning & Refrigeration Repairs & Services","Unit 4, 1st Floor, Block C, Mulaut Industrial Parkland, Spg 113, Ban 5, Jalan Kilanas Mulaut BF2520, Brunei Darussalam.",+673 2660771 / 8731573,,admin@asmahwaty.com,http://www.facebook.com/asmahwatycontractor
TAMACON SDN BHD,"• General Hardware • Building Materials • Timbers • Bathroom Accessories
• Power Tools • Housing Development • Building Renovation","No. 66, Jalan Pasai 2, Sengkurong BG1121, Brunei Darussalam",+673 266 3627,+673 266 3628,tamacon_sdn_bhd@yahoo.com.my,
UNIBRIGHT ENGINEERING SDN BHD,,,+673 242 6555,,,
ADININ WORKS & ENGINEERING SDN BHD,,,333 1001,,,
AEROD ENGINEERING SDN BHD,,,223 1938,,,
AMBERHIGH SDN BHD,,,264 0224,,,
ASTAL ENGINEERING SDN BHD,,,223 8706,,,
AT & S CONTRACTOR,,,234 1192,,,
ATH FEMCO (B) SDN BHD,,,222 5174,,,
AZMIN CONTRACTOR & ENGINEERING SDN BHD,,,223 8707,,,
BATAMAS SDN BHD,,,322 4643,,,
BINA PURI (B) SDN BHD,,,223 2373,,,
BORNEO UNITED ENTERPRISE SDN BHD,,,245 0017,,,
BRUNEI CONSTRUCTION SDN BHD,,,242 1216,,,
CHI HO TRADING & CONSTRUCTION CO,,,245 1170,,,
CHIAM ENGINEERING CONSTRUCTION,,,333 2029,,,
CHIN YUN SIONG CONTRACTORS,,,244 4688,,,
CHUNG HSING CONSTRUCTION SDN BHD,,,266 2230,,,
CHUNG HUA ENTERPRISE SDN BHD,,,224 3528,,,
CYF WELDING & BUILDING CONSTRUCTION,,,322 4600,,,
DARA CONSTRUCTION SDN BHD,,,222 6925,,,
GR TECHNIC SDN BHD,,,223 6660,,,
HING CHEONG CONSTRUCTION COMPANY,,,222 2778,,,
HMYC SDN BHD,,,267 0080,,,
HONG HEE TRADING,,,245 4782,,,
HT ENTERPRISE SDN BHD,,,278 6988,,,
JODICO SDN BHD,,,245 5166,,,
JURAMAS TECHNOLOGIES SDN BHD,,,245 1777,,,
KAMSAT SDN BHD,,,224 2502,,,
KENYANGAN SDN BHD,,,244 8833,,,
KIAN LEE,,,242 7153,,,
KONTRAKTOR AM & PEMBEKAL MIHSAHAP,,,265 1932,,,
L T F CONSTRUCTION,,,245 1719,,,
LCY DEVELOPMENT SDN BHD,,,245 5678,,,
M COME DESIGN & CONSTRUCTION SDN BHD,,,244 7409,,,
MEKAR CORPORATION SDN BHD,,,244 5019,,,
NIKKOH CONSTRUCTION & DEVELOPMENT SDN BHD,,,279 3486,,,
RAYTEC SDN BHD,,,265 6113,,,
RIKA SDN BHD,,,245 4130,,,
RUGENCO,,,333 4718,,,
SAMA JAYA CONSTRUCTION SDN BHD,,,266 1332,,,
SENG CHOI CONSTRUCTION SDN BHD,,,322 5557,,,
SURATI CONSTRUCTION SDN BHD,,,244 9043,,,
SWEE SDN BHD,,,265 1501,,,
SYARIKAT HIJAU BUDIMAN,,,322 8229,,,
SYARIKAT HJ OTHMAN YAKUB & ANAK-ANAK,,,244 5415,,,
SYARIKAT MORNI,,,223 9125,,,
SYARIKAT SERI PADAT,,,222 1552,,,
TANG SUN LEE SDN BHD,,,244 2688,,,
TEKAD FAJAR SDN BHD,,,265 6768,,,
TEXTPRINT SDN BHD,,,245 4135,,,
THONG & THONG SDN BHD,,,244 8170,,,
TOBISHIMA (B) SDN BHD,,,242 5946,,,
TRADE PLUS CONSTRUCTION SDN BHD,,,265 2507,,,
TUNG TAI GENERAL CONTRACTOR,,,424 0181,,,
UNITED ENGINEERS,,,244 5366,,,
WSS SDN BHD,,,233 1600,,,
YAPP SOO & SONS,,,322 2086,,,
ZAINAL HM DAUD,,,243 0854,,,
